section,full_name,email,phone,city,age_band,campaign_consent,interest,list_title,category
PROFILE,Flora,flora@yopmail.com,+919259266808,hongkong,18-25,yes,,,
INTEREST,,,,,,,Fitness,,
INTEREST,,,,,,,Travel,,
INTEREST,,,,,,,Gaming,,
INTEREST,,,,,,,Food,,
INTEREST,,,,,,,Books,,
INTEREST,,,,,,,"Dining Out",,
LIST,,,,,,,,"Scott list 1 (Copy)",Books
LIST,,,,,,,,"Scott list 1 (Copy)",Books
LIST,,,,,,,,"Scott list 1 (Copy)",Books
LIST,,,,,,,,"Scott’s list (Copy)",Books
LIST,,,,,,,,"Scott’s list (Copy)",Books
LIST,,,,,,,,"Scott’s list (Copy)",Books
LIST,,,,,,,,"Scott’s list (Copy)",Books
LIST,,,,,,,,"Scout list 2 (Copy)",Books
LIST,,,,,,,,"Scout list 2 (Copy)",Books
LIST,,,,,,,,"Top 10 fruit",Food
LIST,,,,,,,,"Top 10 fruit",Food
LIST,,,,,,,,"Top 10 fruit",Food
LIST,,,,,,,,fewfewf,Books
LIST,,,,,,,,reyg,Books
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"My list",Food
LIST,,,,,,,,"Test 2",Food
LIST,,,,,,,,"Test 2",Food
LIST,,,,,,,,"Test 2",Food
LIST,,,,,,,,"Test 2",Food
